url,event_id,task_id,task_type,trial_id,duration(mS),start(yyyy:mm:dd:hh:mn:ss:mls),end(yyyy:mm:dd:hh:mn:ss:mls),isi,set,stim_type,stim_id,stim_pool_id,response
http://web.uvic.ca/~lindlab/memory/experiments/my-experiment/memory.html,16,1,study_phase,7,242.3,2017:50:23:18:54:20:388,2017:50:23:18:54:20:631,,4500,image,../../images/73.jpg,2,""
http://web.uvic.ca/~lindlab/memory/experiments/my-experiment/memory.html,17,1,isi,8,116.3,2017:50:23:18:54:20:631,2017:50:23:18:54:20:747,111,111,,,2,""
http://web.uvic.ca/~lindlab/memory/experiments/my-experiment/memory.html,18,1,study_phase,8,214.6,2017:50:23:18:54:20:747,2017:50:23:18:54:20:961,,4500,image,../../images/186.jpg,2,""
http://web.uvic.ca/~lindlab/memory/experiments/my-experiment/memory.html,19,1,isi,9,114.6,2017:50:23:18:54:20:961,2017:50:23:18:54:30:760,111,111,,,2,""
http://web.uvic.ca/~lindlab/memory/experiments/my-experiment/memory.html,20,1,study_phase,9,261.5,2017:50:23:18:54:30:760,2017:50:23:18:54:30:337,,4500,image,../../images/170.jpg,2,""
http://web.uvic.ca/~lindlab/memory/experiments/my-experiment/memory.html,21,2,instructions,0,340.9,2017:50:23:18:54:30:338,2017:50:23:18:54:30:678,,,,,,""
http://web.uvic.ca/~lindlab/memory/experiments/my-experiment/memory.html,22,3,isi,0,501.1,2017:50:23:18:54:30:678,2017:50:23:18:54:40:179,500,500,,,,""
http://web.uvic.ca/~lindlab/memory/experiments/my-experiment/memory.html,23,4,instructions,0,941.9,2017:50:23:18:54:40:180,2017:50:23:18:54:50:121,,,,,,""
http://web.uvic.ca/~lindlab/memory/experiments/my-experiment/memory.html,24,3,delay,0,10003.9,2017:50:23:18:54:50:122,2017:50:23:18:54:15:125,,10000,,,,"peru brazil panama canada mexico usa e"
http://web.uvic.ca/~lindlab/memory/experiments/my-experiment/memory.html,25,5,instructions,0,5003.9,2017:50:23:18:54:15:125,2017:50:23:18:54:20:129,,5000,,,,"N"
http://web.uvic.ca/~lindlab/memory/experiments/my-experiment/memory.html,26,6,instructions,0,1127.3,2017:50:23:18:54:20:129,2017:50:23:18:54:21:256,,,,,,""
http://web.uvic.ca/~lindlab/memory/experiments/my-experiment/memory.html,27,7,instructions,0,494.2,2017:50:23:18:54:21:256,2017:50:23:18:54:21:750,,,,,,""
http://web.uvic.ca/~lindlab/memory/experiments/my-experiment/memory.html,28,8,instructions,0,386.1,2017:50:23:18:54:21:750,2017:50:23:18:54:22:136,,,,,,""
http://web.uvic.ca/~lindlab/memory/experiments/my-experiment/memory.html,29,9,instructions,0,371.2,2017:50:23:18:54:22:136,2017:50:23:18:54:22:508,,,,,,""
http://web.uvic.ca/~lindlab/memory/experiments/my-experiment/memory.html,30,10,isi,0,111.5,2017:50:23:18:54:22:508,2017:50:23:18:54:22:619,111,111,,,1,""
http://web.uvic.ca/~lindlab/memory/experiments/my-experiment/memory.html,31,10,test_phase,0,1277.9,2017:50:23:18:54:22:619,2017:50:23:18:54:23:897,,6000,image,../../images/97.jpg,1,"N"
http://web.uvic.ca/~lindlab/memory/experiments/my-experiment/memory.html,32,10,isi,1,115,2017:50:23:18:54:23:897,2017:50:23:18:54:24:120,111,111,,,2,""
http://web.uvic.ca/~lindlab/memory/experiments/my-experiment/memory.html,33,10,test_phase,1,1061.4,2017:50:23:18:54:24:120,2017:50:23:18:54:25:740,,6000,image,../../images/186.jpg,2,"N"
http://web.uvic.ca/~lindlab/memory/experiments/my-experiment/memory.html,34,10,isi,2,113.4,2017:50:23:18:54:25:740,2017:50:23:18:54:25:187,111,111,,,2,""
http://web.uvic.ca/~lindlab/memory/experiments/my-experiment/memory.html,35,10,test_phase,2,819.9,2017:50:23:18:54:25:187,2017:50:23:18:54:26:700,,6000,word,compassion,2,"N"
